AIRLINE;TRIP;ROU;TYP;PAX;ST;SCHENGEN;AT;BT;POS;BELT;BOUND;HANDLING_TYPE;SIKA;BELT_FIRST;BELT_LAST;EG;LG;DAUER_AUSGABE;STOERGRUND_GD
LX;1179;ZRH;100;76;01.02.2016 05:50;1;01.02.2016 06:03;01.02.2016 05:49;17;;0;J;100;;;;;;
KL;1866;AMS;E90;89;01.02.2016 06:00;1;01.02.2016 06:04;01.02.2016 05:49;15;;0;J;100;;;;;;
SK;668;CPH;CR9;56;01.02.2016 06:00;1;01.02.2016 06:06;01.02.2016 05:58;56;;0;J;88;;;;;;
XG;1790;ESB;73H;148;01.02.2016 06:05;0;01.02.2016 06:01;01.02.2016 06:05;33;31;1;J;189;01.02.2016 06:16;01.02.2016 06:33;11;29;18;
AB;6530;TXL;DH4;47;01.02.2016 06:20;1;01.02.2016 06:27;01.02.2016 06:22;61D;;0;J;76;;;;;;
AB;6650;HAM;320;110;01.02.2016 06:30;1;01.02.2016 06:31;01.02.2016 06:20;13;;0;J;180;;;;;;
4U;2012;SXF;319;71;01.02.2016 06:35;1;01.02.2016 06:38;01.02.2016 06:27;10;;0;J;144;;;;;;
4U;2014;TXL;319;90;01.02.2016 06:40;1;01.02.2016 06:48;01.02.2016 06:38;40;;0;J;150;;;;;;
4U;2024;DRS;320;62;01.02.2016 06:40;1;01.02.2016 06:46;01.02.2016 06:36;42;;0;J;174;;;;;;
4U;2044;HAM;320;68;01.02.2016 06:40;1;01.02.2016 06:42;01.02.2016 06:34;46;;0;J;174;;;;;;
AB;6833;DUS;DH4;59;01.02.2016 06:40;1;01.02.2016 06:45;01.02.2016 06:36;62D;;0;J;76;;;;;;
AF;1609;CDG;E90;52;01.02.2016 06:45;1;01.02.2016 06:56;01.02.2016 06:41;14;;0;J;100;;;;;;
4U;2780;BUD;319;85;01.02.2016 06:45;1;01.02.2016 06:53;01.02.2016 06:40;43;;0;J;144;;;;;;
4U;2052;HAJ;319;84;01.02.2016 06:45;1;01.02.2016 06:54;01.02.2016 06:44;50;;0;J;150;;;;;;
AB;7223;AUH BUD;32A;87;01.02.2016 06:50;0;01.02.2016 07:46;01.02.2016 07:49;15;32;1;J;146;01.02.2016 08:07;01.02.2016 08:14;18;24;6;
4U;2528;BCN;319;98;01.02.2016 06:50;1;01.02.2016 07:00;01.02.2016 06:51;45;;0;J;144;;;;;;
EW;4904;MXP;CR9;53;01.02.2016 06:50;1;01.02.2016 07:03;01.02.2016 06:52;64D;;0;J;90;;;;;;
4U;2074;LEJ;319;41;01.02.2016 06:55;1;01.02.2016 06:57;01.02.2016 06:44;44;;0;J;144;;;;;;
4U;2160;BRU;319;82;01.02.2016 06:55;1;01.02.2016 07:04;01.02.2016 06:54;19;;0;J;144;;;;;;
4U;2758;VIE;319;84;01.02.2016 06:55;1;01.02.2016 06:59;01.02.2016 06:49;51;;0;J;144;;;;;;
4U;6900;DUS;320;0;01.02.2016 07:00;1;01.02.2016 06:36;01.02.2016 06:40;52;;1;P;0;;;;;;
LH;127;FRA;733;120;01.02.2016 07:00;1;01.02.2016 07:16;01.02.2016 07:02;11;;0;J;139;;;;;;
TK;1710;IST;320;104;01.02.2016 07:00;0;01.02.2016 07:26;01.02.2016 07:11;9;;0;J;159;;;;;;
AB;6610;HAJ;DH4;63;01.02.2016 07:05;1;01.02.2016 07:06;01.02.2016 07:02;63D;;0;J;76;;;;;;
4U;2462;LHR;320;71;01.02.2016 07:10;0;01.02.2016 07:37;01.02.2016 07:28;52;;0;J;174;;;;;;
4U;2039;BRE;319;113;01.02.2016 07:10;1;01.02.2016 06:51;01.02.2016 06:57;41;11;1;J;144;01.02.2016 07:06;01.02.2016 07:08;9;11;2;
AB;6532;TXL;320;81;01.02.2016 07:20;1;01.02.2016 07:22;01.02.2016 07:11;16;;0;J;180;;;;;;
TJT;41;LYS;BEH;9;01.02.2016 07:35;1;01.02.2016 07:34;01.02.2016 07:39;62D;40;1;J;19;01.02.2016 07:45;01.02.2016 07:45;6;6;0;
AB;6531;TXL;320;84;01.02.2016 07:35;1;01.02.2016 07:13;01.02.2016 07:18;14;31;1;J;180;01.02.2016 07:25;01.02.2016 07:29;7;12;5;
4U;2030;BRE;319;125;01.02.2016 07:45;1;01.02.2016 07:45;01.02.2016 07:36;41;;0;J;144;;;;;;
AB;6651;HAM;73W;136;01.02.2016 07:45;1;01.02.2016 07:29;01.02.2016 07:33;13;30;1;J;144;01.02.2016 07:43;01.02.2016 07:45;10;12;2;
LX;1164;ZRH;AR1;18;01.02.2016 07:50;1;01.02.2016 07:48;01.02.2016 07:54;43;31;1;J;97;01.02.2016 08:00;01.02.2016 08:00;6;6;0;
OS;180;VIE;319;88;01.02.2016 07:50;1;01.02.2016 08:00;01.02.2016 07:46;12;;0;J;138;;;;;;
4U;8000;TXL;319;90;01.02.2016 07:55;1;01.02.2016 07:36;01.02.2016 07:41;10;11;1;J;144;01.02.2016 07:48;01.02.2016 07:50;7;9;2;
AB;6832;DUS;DH4;68;01.02.2016 07:55;1;01.02.2016 07:55;01.02.2016 07:59;61D;31;1;J;76;01.02.2016 08:14;01.02.2016 08:15;15;16;1;
4U;7046;HAM;319;115;01.02.2016 07:55;1;01.02.2016 07:38;01.02.2016 07:42;11;10;1;J;150;01.02.2016 07:50;01.02.2016 07:52;8;10;2;
OS;241;GRZ;F70;73;01.02.2016 07:55;1;01.02.2016 07:50;01.02.2016 07:54;44;30;1;J;80;01.02.2016 08:03;01.02.2016 08:05;9;11;2;
TJT;42;LYS;BEH;6;01.02.2016 08:05;1;01.02.2016 08:06;01.02.2016 08:01;62D;;0;J;19;;;;;;
LH;126;FRA;319;41;01.02.2016 08:15;1;01.02.2016 08:10;01.02.2016 08:13;12;11;1;J;138;01.02.2016 08:22;01.02.2016 08:24;9;11;2;
IS;501;FMO;J32;9;01.02.2016 08:20;1;01.02.2016 08:05;01.02.2016 08:10;63D;10;1;J;19;01.02.2016 08:15;01.02.2016 08:15;5;6;1;
AB;6534;TXL;320;94;01.02.2016 08:20;1;01.02.2016 08:31;01.02.2016 08:19;14;;0;J;180;;;;;;
LX;1165;ZRH;AR1;73;01.02.2016 08:20;1;01.02.2016 08:29;01.02.2016 08:23;43;;0;J;97;;;;;;
AB;6652;HAM;73W;130;01.02.2016 08:25;1;01.02.2016 08:35;01.02.2016 08:22;13;;0;J;144;;;;;;
AB;6835;DUS;DH4;64;01.02.2016 08:25;1;01.02.2016 08:34;01.02.2016 08:26;61D;;0;J;76;;;;;;
4U;7047;HAM;319;84;01.02.2016 08:30;1;01.02.2016 08:37;01.02.2016 08:25;11;;0;J;150;;;;;;
OS;242;GRZ;F70;42;01.02.2016 08:30;1;01.02.2016 08:32;01.02.2016 08:25;44;;0;J;80;;;;;;
4U;8001;TXL;319;75;01.02.2016 08:30;1;01.02.2016 08:40;01.02.2016 08:29;10;;0;J;144;;;;;;
OS;177;VIE;E95;90;01.02.2016 08:35;1;01.02.2016 08:24;01.02.2016 08:29;45;30;1;J;120;01.02.2016 08:40;01.02.2016 08:43;11;14;3;
DL;116;ATL;76W;135;01.02.2016 08:35;0;01.02.2016 08:13;01.02.2016 08:18;9;10;1;J;210;01.02.2016 08:26;01.02.2016 08:42;8;24;16;
X3;1476;HAJ AJR;73H;35;01.02.2016 08:40;1;01.02.2016 08:47;01.02.2016 08:35;34;;0;J;189;;;;;;
4U;8010;TXL;319;118;01.02.2016 08:45;1;01.02.2016 08:27;01.02.2016 08:32;10;11;1;J;144;01.02.2016 08:39;01.02.2016 08:41;7;8;1;
IS;502;FMO;J32;4;01.02.2016 08:50;1;01.02.2016 08:49;01.02.2016 08:43;63D;;0;J;19;;;;;;
LH;131;FRA;319;117;01.02.2016 08:50;1;01.02.2016 09:02;01.02.2016 08:48;12;;0;J;138;;;;;;
LH;2144;MUC;E95;66;01.02.2016 09:00;1;01.02.2016 08:56;01.02.2016 08:58;11;11;1;J;120;01.02.2016 09:09;01.02.2016 09:11;11;13;2;
DE;216;HRG;320;170;01.02.2016 09:00;0;01.02.2016 09:18;01.02.2016 09:02;18;;0;C;180;;;;;;
DE;3778;HAJ;32B;0;01.02.2016 09:00;1;01.02.2016 09:06;01.02.2016 09:09;54;;1;P;0;;;;;;
4U;2025;DRS;320;92;01.02.2016 09:15;1;01.02.2016 08:59;01.02.2016 09:01;12;11;1;J;174;01.02.2016 09:09;01.02.2016 09:10;8;9;1;
4U;2053;HAJ;319;87;01.02.2016 09:15;1;01.02.2016 09:00;01.02.2016 09:05;42;10;1;J;150;01.02.2016 09:13;01.02.2016 09:15;8;9;1;
AB;6535;TXL;73W;114;01.02.2016 09:25;1;01.02.2016 09:10;01.02.2016 09:13;13;31;1;J;144;01.02.2016 09:20;01.02.2016 09:22;7;9;2;
4U;8011;TXL;319;62;01.02.2016 09:25;1;01.02.2016 09:29;01.02.2016 09:15;10;;0;J;144;;;;;;
4U;2075;LEJ;319;43;01.02.2016 09:30;1;01.02.2016 09:12;01.02.2016 09:15;43;11;1;J;144;01.02.2016 09:23;01.02.2016 09:24;8;9;1;Verzögerung bei der Ausladung
AB;6834;DUS;DH4;49;01.02.2016 09:30;1;01.02.2016 09:37;01.02.2016 09:41;61D;32;1;J;76;01.02.2016 09:51;01.02.2016 09:51;11;11;0;
SK;657;CPH;CR9;52;01.02.2016 09:35;1;01.02.2016 09:35;01.02.2016 09:40;44;30;1;J;88;01.02.2016 09:48;01.02.2016 09:49;8;9;1;
4U;2161;BRU;319;43;01.02.2016 09:40;1;01.02.2016 09:27;01.02.2016 09:31;41;40;1;J;144;01.02.2016 09:40;01.02.2016 09:41;9;10;1;
LH;2145;MUC;E95;94;01.02.2016 09:40;1;01.02.2016 09:47;01.02.2016 09:38;11;;0;J;120;;;;;;
AB;6653;HAM;320;169;01.02.2016 09:45;1;01.02.2016 09:41;01.02.2016 09:44;34;30;1;J;180;01.02.2016 09:56;01.02.2016 09:59;12;15;3;
4U;2013;SXF;319;109;01.02.2016 09:45;1;01.02.2016 09:19;01.02.2016 09:24;46;11;1;J;144;01.02.2016 09:28;01.02.2016 09:29;4;6;2;
4U;2015;TXL;319;53;01.02.2016 09:45;1;01.02.2016 09:39;01.02.2016 09:43;40;10;1;J;150;01.02.2016 09:53;01.02.2016 09:54;10;12;2;
4U;2045;HAM;320;136;01.02.2016 09:45;1;01.02.2016 09:30;01.02.2016 09:33;52;11;1;J;174;01.02.2016 09:47;01.02.2016 09:51;15;18;3;
AB;7222;AUH;32A;71;01.02.2016 09:45;0;01.02.2016 10:00;01.02.2016 09:48;15;;0;J;146;;;;;;
EZY;8523;LGW;320;60;01.02.2016 09:50;0;01.02.2016 09:24;01.02.2016 09:28;18;31;1;J;180;01.02.2016 09:41;01.02.2016 09:42;14;14;0;
4U;5202;AJR;320;160;01.02.2016 09:50;1;01.02.2016 10:12;01.02.2016 10:02;12;;0;C;174;;;;;;
AB;6611;HAJ;DH4;58;01.02.2016 09:55;1;01.02.2016 09:32;01.02.2016 09:34;62D;32;1;J;76;01.02.2016 09:47;01.02.2016 09:48;13;14;1;
DE;1422;SPC;32B;200;01.02.2016 10:00;1;01.02.2016 10:21;01.02.2016 10:10;54;;0;J;220;;;;;;
AB;6837;DUS;DH4;57;01.02.2016 10:00;1;01.02.2016 10:14;01.02.2016 10:08;61D;;0;J;76;;;;;;
BE;7121;BHX;E75;67;01.02.2016 10:00;0;01.02.2016 09:43;01.02.2016 09:47;55;31;1;J;88;01.02.2016 09:57;01.02.2016 09:58;10;12;2;
BA;918;LHR;319;68;01.02.2016 10:05;0;01.02.2016 09:53;01.02.2016 09:55;16;32;1;J;143;01.02.2016 10:02;01.02.2016 10:05;8;10;2;
AF;1408;CDG;E90;82;01.02.2016 10:05;1;01.02.2016 09:57;01.02.2016 10:00;14*;41;1;J;100;01.02.2016 10:13;01.02.2016 10:23;13;22;9;
SK;658;CPH;CR9;36;01.02.2016 10:05;1;01.02.2016 10:16;01.02.2016 10:06;44;;0;J;88;;;;;;
EW;4905;MXP;CR9;29;01.02.2016 10:10;1;01.02.2016 10:08;01.02.2016 10:11;63D;10;1;J;90;01.02.2016 10:22;01.02.2016 10:23;11;12;1;
4U;2376;STN;319;71;01.02.2016 10:10;0;01.02.2016 10:20;01.02.2016 10:08;43;;0;J;144;;;;;;
