TIME;Check-In;Backage Drop Off;Security Check;To Gate;Boarding;Puffer;Summe(min)
06:00;5;13;10;10;18;20;76
07:00;5;14;15;13;20;20;87
08:00;4;22;23;14;19;20;102
09:00;6;25;16;31;22;20;120
10:00;8;26;19;12;11;20;96
11:00;5;22;14;15;15;20;91
12:00;3;19;16;16;10;20;84
13:00;6;15;17;7;13;20;78
14:00;5;13;14;17;12;20;81
15:00;4;15;15;15;13;20;82
16:00;5;17;11;17;16;20;86
17:00;2;18;16;15;15;20;86
18:00;4;19;17;15;18;20;93
19:00;6;25;21;17;20;20;109
20:00;3;22;19;15;22;20;101
21:00;2;12;12;14;19;20;79
22:00;1;10;8;14;14;20;67
23:00;1;6;9;15;10;20;61
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
