STDATUM;AIRLINE;TRIP;AD;AIRLINE_VK;TRIP_VK;STDATUM_VK;AD_VK;SCHENGEN;ABFERTIGUNGSART;TYP;POS;ROU;STTIME;SIKA
20160704;0B;129;A;0B;330;20160704;D;NSCHENGEN;J;73H;18;OTP;830;189
20160704;0B;330;D;0B;129;20160704;A;NSCHENGEN;J;73H;18;SBZ;900;189
20160704;0B;329;A;0B;130;20160704;D;NSCHENGEN;J;73H;43;SBZ;1340;189
20160704;0B;130;D;0B;329;20160704;A;NSCHENGEN;J;73H;43;OTP;1410;189
20160706;0B;129;A;0B;330;20160706;D;NSCHENGEN;J;734;18;OTP;830;168
20160706;0B;330;D;0B;129;20160706;A;NSCHENGEN;J;734;18;SBZ;900;168
20160706;0B;329;A;0B;130;20160706;D;NSCHENGEN;J;734;18;SBZ;1340;168
20160706;0B;130;D;0B;329;20160706;A;NSCHENGEN;J;734;18;OTP;1410;168
20160707;0B;2929;A;0B;2930;20160707;D;NSCHENGEN;J;734;17;BCM;1835;168
20160707;0B;2930;D;0B;2929;20160707;A;NSCHENGEN;J;734;17;BCM;1910;168
20160708;0B;129;A;0B;330;20160708;D;NSCHENGEN;J;73H;44;OTP;830;189
20160708;0B;330;D;0B;129;20160708;A;NSCHENGEN;J;73H;44;SBZ;900;189
20160708;0B;329;A;0B;130;20160708;D;NSCHENGEN;J;73H;44;SBZ;1340;189
20160708;0B;130;D;0B;329;20160708;A;NSCHENGEN;J;73H;44;OTP;1410;189
20160710;0B;129;A;0B;330;20160710;D;NSCHENGEN;J;734;54;OTP;830;170
20160710;0B;330;D;0B;129;20160710;A;NSCHENGEN;J;734;54;SBZ;900;170
20160710;0B;329;A;0B;130;20160710;D;NSCHENGEN;J;734;17;SBZ;1340;170
20160710;0B;130;D;0B;329;20160710;A;NSCHENGEN;J;734;17;OTP;1410;170
20160710;0B;2929;A;0B;2930;20160710;D;NSCHENGEN;J;735;106;BCM;1835;126
20160710;0B;2930;D;0B;2929;20160710;A;NSCHENGEN;J;735;106;BCM;1910;126
20160704;4U;2005;A;4U;2756;20160704;D;SCHENGEN;J;319;46;TXL;1825;144
20160704;4U;2756;D;4U;2005;20160704;A;SCHENGEN;J;319;46;VIE;1900;144
20160704;4U;2007;A;4U;2044;20160705;D;SCHENGEN;J;320;43;TXL;2150;174
20160705;4U;2044;D;4U;2007;20160704;A;SCHENGEN;J;320;43;HAM;635;174
20160704;4U;2013;A;4U;2516;20160704;D;SCHENGEN;J;319;45;SXF;945;144
20160704;4U;2516;D;4U;2013;20160704;A;SCHENGEN;J;319;45;BIO;1020;144
20160704;4U;2015;A;4U;2682;20160704;D;SCHENGEN;J;319;43;TXL;945;144
20160704;4U;2682;D;4U;2015;20160704;A;SCHENGEN;J;319;43;SKG;1025;144
20160704;4U;2019;A;4U;2462;20160705;D;SCHENGEN;J;319;41;SXF;2210;144
20160705;4U;2462;D;4U;2019;20160704;A;NSCHENGEN;J;319;41;LHR;740;144
20160704;4U;2025;A;4U;2604;20160704;D;SCHENGEN;J;320;46;DRS;910;174
20160704;4U;2604;D;4U;2025;20160704;A;SCHENGEN;J;320;46;LIS;1015;174
20160704;4U;2027;A;4U;2784;20160704;D;SCHENGEN;J;319;42;DRS;1845;144
20160704;4U;2784;D;4U;2027;20160704;A;SCHENGEN;J;319;42;BUD;1920;144
20160704;4U;2031;A;4U;2966;20160704;D;SCHENGEN;J;319;44;BRE;1025;144
20160704;4U;2966;D;4U;2031;20160704;A;NSCHENGEN;J;319;44;ZAD;1105;144
20160704;4U;2033;A;4U;2822;20160704;D;SCHENGEN;J;319;43;BRE;1815;144
20160704;4U;2822;D;4U;2033;20160704;A;SCHENGEN;J;319;43;MXP;1845;144
20160704;4U;2035;A;4U;2052;20160705;D;SCHENGEN;J;319;53;BRE;2125;144
20160705;4U;2052;D;4U;2035;20160704;A;SCHENGEN;J;319;53;HAJ;650;144
20160704;4U;2039;A;4U;2030;20160704;D;SCHENGEN;J;319;43;BRE;710;144
20160704;4U;2030;D;4U;2039;20160704;A;SCHENGEN;J;319;43;BRE;745;144
20160704;4U;2041;A;4U;2378;20160704;D;SCHENGEN;J;319;40;HAM;1830;144
20160704;4U;2378;D;4U;2041;20160704;A;NSCHENGEN;J;319;40;STN;1915;144
20160704;4U;2043;A;4U;2014;20160705;D;SCHENGEN;J;319;10;HAM;2150;144
20160705;4U;2014;D;4U;2043;20160704;A;SCHENGEN;J;319;10;TXL;640;144
20160704;4U;2045;A;4U;2596;20160704;D;SCHENGEN;J;319;53;HAM;940;144
20160704;4U;2596;D;4U;2045;20160704;A;SCHENGEN;J;319;53;PMI;1010;144
20160704;4U;2047;A;4U;2588;20160704;D;SCHENGEN;J;319;41;HAM;1300;144
20160704;4U;2588;D;4U;2047;20160704;A;SCHENGEN;J;319;41;PMI;1350;144
20160704;4U;2053;A;4U;2818;20160704;D;SCHENGEN;J;319;44;HAJ;920;144
20160704;4U;2818;D;4U;2053;20160704;A;SCHENGEN;J;319;44;CTA;955;144
20160704;4U;2055;A;4U;2820;20160705;D;SCHENGEN;J;319;44;HAJ;2200;144
20160705;4U;2820;D;4U;2055;20160704;A;SCHENGEN;J;319;44;MXP;640;144
20160704;4U;2073;A;4U;2042;20160704;D;SCHENGEN;J;319;41;LEJ;1805;144
20160704;4U;2042;D;4U;2073;20160704;A;SCHENGEN;J;319;41;HAM;1840;144
20160704;4U;2075;A;4U;2530;20160704;D;SCHENGEN;J;319;40;LEJ;855;144
20160704;4U;2530;D;4U;2075;20160704;A;SCHENGEN;J;319;40;VLC;930;144
20160704;4U;2161;A;4U;2874;20160704;D;SCHENGEN;J;319;40;BRU;920;144
20160704;4U;2874;D;4U;2161;20160704;A;SCHENGEN;J;319;40;BRI;950;144
20160704;4U;2163;A;4U;2034;20160704;D;SCHENGEN;J;319;45;BRU;1815;144
20160704;4U;2034;D;4U;2163;20160704;A;SCHENGEN;J;319;45;BRE;1845;144
20160704;4U;2165;A;4U;2012;20160705;D;SCHENGEN;J;319;55;BRU;2135;144
20160705;4U;2012;D;4U;2165;20160704;A;SCHENGEN;J;319;55;SXF;640;144
20160704;4U;2181;A;4U;2054;20160704;D;SCHENGEN;J;319;33;AMS;1855;144
20160704;4U;2054;D;4U;2181;20160704;A;SCHENGEN;J;319;33;HAJ;1930;144
20160704;4U;2379;A;4U;2160;20160705;D;NSCHENGEN;J;319;41;STN;2245;144
20160705;4U;2160;D;4U;2379;20160704;A;SCHENGEN;J;319;41;BRU;635;144
20160704;4U;2461;A;4U;2464;20160704;D;NSCHENGEN;J;319;43;LHR;1640;144
20160704;4U;2464;D;4U;2461;20160704;A;NSCHENGEN;J;319;43;LHR;1720;144
20160704;4U;2463;A;4U;2460;20160704;D;NSCHENGEN;J;319;44;LHR;1145;144
20160704;4U;2460;D;4U;2463;20160704;A;NSCHENGEN;J;319;44;LHR;1240;144
20160704;4U;2465;A;4U;2024;20160705;D;NSCHENGEN;J;319;42;LHR;2135;144
20160705;4U;2024;D;4U;2465;20160704;A;SCHENGEN;J;319;42;DRS;640;144
20160704;4U;2517;A;4U;2072;20160704;D;SCHENGEN;J;319;44;BIO;1455;144
20160704;4U;2072;D;4U;2517;20160704;A;SCHENGEN;J;319;44;LEJ;1530;144
20160704;4U;2521;A;4U;2528;20160705;D;SCHENGEN;J;320;46;BCN;2155;180
20160705;4U;2528;D;4U;2521;20160704;A;SCHENGEN;J;320;46;BCN;635;180
20160704;4U;2529;A;4U;2594;20160704;D;SCHENGEN;J;320;43;BCN;1105;180
20160704;4U;2594;D;4U;2529;20160704;A;SCHENGEN;J;320;43;IBZ;1145;180
20160704;4U;2531;A;4U;2180;20160704;D;SCHENGEN;J;319;45;VLC;1445;144
20160704;4U;2180;D;4U;2531;20160704;A;SCHENGEN;J;319;45;AMS;1535;144
20160704;4U;2589;A;4U;2018;20160704;D;SCHENGEN;J;319;44;PMI;1830;144
20160704;4U;2018;D;4U;2589;20160704;A;SCHENGEN;J;319;44;SXF;1905;144
20160704;4U;2595;A;4U;2520;20160704;D;SCHENGEN;J;320;42;IBZ;1650;180
20160704;4U;2520;D;4U;2595;20160704;A;SCHENGEN;J;320;42;BCN;1725;180
20160704;4U;2597;A;4U;2032;20160704;D;SCHENGEN;J;319;43;PMI;1455;144
20160704;4U;2032;D;4U;2597;20160704;A;SCHENGEN;J;319;43;BRE;1530;144
20160704;4U;2605;A;4U;2976;20160704;D;SCHENGEN;J;320;44;LIS;1655;174
20160704;4U;2976;D;4U;2605;20160704;A;NSCHENGEN;J;320;44;ZAG;1750;174
20160704;4U;2683;A;4U;2026;20160704;D;SCHENGEN;J;319;42;SKG;1540;144
20160704;4U;2026;D;4U;2683;20160704;A;SCHENGEN;J;319;42;DRS;1610;144
20160704;4U;2755;A;4U;2006;20160704;D;SCHENGEN;J;320;10;VIE;1755;174
20160704;4U;2006;D;4U;2755;20160704;A;SCHENGEN;J;320;10;TXL;1845;174
20160704;4U;2757;A;4U;2860;20160705;D;SCHENGEN;J;319;35;VIE;2200;144
20160705;4U;2860;D;4U;2757;20160704;A;SCHENGEN;J;319;35;NAP;630;144
20160704;4U;2759;A;4U;2964;20160704;D;SCHENGEN;J;320;40;VIE;955;174
20160704;4U;2964;D;4U;2759;20160704;A;NSCHENGEN;J;320;40;SPU;1035;174
20160704;4U;2781;A;4U;2884;20160704;D;SCHENGEN;J;319;41;BUD;1010;144
20160704;4U;2884;D;4U;2781;20160704;A;SCHENGEN;J;319;41;FCO;1050;144
20160704;4U;2785;A;4U;3002;20160705;D;SCHENGEN;J;319;19;BUD;2245;144
